dataset	n	p	true_k	sigma	method	K	n_iter	CRI	WCRI	TWCRI	ARI_mean	ARI_std	AMI_mean	AMI_std	empty_clusters	K_star_TWCRI
vdx_3gene	344	3			agglomerative_single	5	200	0.6889	0.1508	0.7542	0.4100	0.2131	0.4654	0.1688		
vdx_3gene	344	3			agglomerative_single	6	200	0.6430	0.1279	0.7672	0.4515	0.1856	0.5139	0.1296		
vdx_3gene	344	3			hdbscan*	modal=2	200				0.7646	0.0978	0.7006	0.1038		modal_k=2, agree=0.60
well_separated	300	5	3		kmeans	2	200	1.0000	0.5000	1.0000	0.9900	0.0993	0.9919	0.0805		3
well_separated	300	5	3		kmeans	3	200	1.0000	0.3333	1.0000	1.0000	0.0000	1.0000	0.0000		3
well_separated	300	5	3		kmeans	4	200	NaN	NaN	NaN	0.7758	0.0814	0.8317	0.0281	Y	3
well_separated	300	5	3		kmeans	5	200	NaN	NaN	NaN	0.6265	0.0990	0.7272	0.0379	Y	3
well_separated	300	5	3		kmeans	6	200	0.5337	0.0930	0.5580	0.5176	0.0899	0.6503	0.0430		3
well_separated	300	5	3		agglomerative_ward	2	200	1.0000	0.5000	1.0000	1.0000	0.0000	1.0000	0.0000		3
well_separated	300	5	3		agglomerative_ward	3	200	1.0000	0.3333	1.0000	1.0000	0.0000	1.0000	0.0000		3
well_separated	300	5	3		agglomerative_ward	4	200	0.7578	0.2012	0.8046	0.7667	0.0737	0.8303	0.0282		3
well_separated	300	5	3		agglomerative_ward	5	200	0.6634	0.1357	0.6787	0.5955	0.0815	0.7160	0.0332		3
well_separated	300	5	3		agglomerative_ward	6	200	0.6844	0.1140	0.6841	0.4952	0.0629	0.6403	0.0439		3
well_separated	300	5	3		agglomerative_single	2	200	1.0000	0.5000	1.0000	1.0000	0.0000	1.0000	0.0000		
well_separated	300	5	3		agglomerative_single	3	200	1.0000	0.3333	1.0000	1.0000	0.0000	1.0000	0.0000		
well_separated	300	5	3		agglomerative_single	4	200	0.8334	0.2346	0.9383	0.9606	0.0200	0.9514	0.0199		
well_separated	300	5	3		agglomerative_single	5	200	0.7871	0.1698	0.8490	0.9113	0.0344	0.8969	0.0311		
well_separated	300	5	3		agglomerative_single	6	200	0.7187	0.1398	0.8385	0.8720	0.0415	0.8539	0.0368		
well_separated	300	5	3		hdbscan*	modal=3	200				1.0000	0.0000	1.0000	0.0000		modal_k=3, agree=1.00
