"","205225_at","216836_s_at","208079_s_at"
"VDX_104",13.9053023814768,10.9821379682399,11.6433150776695
"VDX_105",12.232690732689,11.273387671383,7.87528859822269
"VDX_106",12.3406290259518,10.9886136862534,7.65535182861255
"VDX_107",12.0483165741585,9.69748888805682,8.99067128397527
"VDX_108",14.2650435979611,10.6921795763125,9.56338696616201
"VDX_109",8.03452387533439,10.9428077062428,9.71579043486629
"VDX_110",12.9760449461857,9.4655664048094,10.2448395011456
"VDX_111",9.61028665708102,14.4587974824464,9.22158712126481
"VDX_112",8.70563238736142,8.49585502688717,8.75221336786514
"VDX_113",8.58044701959866,11.1888978732422,9.35974956032233
"VDX_114",13.3619300702598,11.5106652820725,8.70286528981519
"VDX_115",14.2339641329978,11.7423515456574,9.3968188150137
"VDX_118",9.43295940727611,10.0802845778273,7.59245703726808
"VDX_120",9.39746072605472,12.0901785968181,9.01625115501275
"VDX_121",7.29186136958522,10.237209960755,9.58496250072116
"VDX_122",12.4945056160149,11.9138991685681,7.05528243550119
"VDX_123",9.08719761557795,10.6853620298084,9.42752237068255
"VDX_124",9.39102872681019,11.1888978732422,10.553533303029
"VDX_125",11.1754247985897,13.1772326482887,8.77511640443559
"VDX_126",9.11764310138909,11.0376842162277,9.02347715183043
"VDX_130",13.3396690980675,12.1346830046876,9.58721495245254
"VDX_131",11.1125046676876,12.1176755649087,6.48058827023386
"VDX_133",14.6019100379654,12.0876617285113,8.27426166125705
"VDX_134",14.4148503700191,11.450231807896,9.24697805961472
"VDX_135",9.79327815826588,14.5624034303081,9.4761386254757
"VDX_136",8.68088692071969,11.1744263936773,8.81185631429254
"VDX_137",13.3992111562553,11.1871045914191,10.3466245349814
"VDX_138",14.5443486935862,10.9141608616095,8.56262403909987
"VDX_139",12.0560957560381,10.9880455562767,8.05799172275918
"VDX_140",12.9153192176791,10.153805336079,8.14108531856233
"VDX_141",14.0488784873374,11.200224290915,8.03672310600552
"VDX_200",14.2449063791043,12.2222817192276,8.78626962764847
"VDX_201",14.0309774340261,11.0646080530418,8.25077213159993
"VDX_203",13.0526869120245,10.7808678018165,9.3961766182344
"VDX_204",8.3961766182344,13.7947407610798,8.67419226814568
"VDX_205",13.430086604341,11.6833016940965,7.56757586852411
"VDX_212",13.3264575767056,11.3271596386,10.6624903639138
"VDX_213",13.9014137513125,11.0885232566166,10.2931267402719
"VDX_215",8.60917873814198,9.59525748144904,10.6139735873802
"VDX_216",8.95506864440976,9.94207459222685,9.21868431336217
"VDX_217",14.6158480016221,11.5206186805563,11.3129396638805
"VDX_222",14.0477544420356,11.6588808950479,8.41023933077602
"VDX_223",14.4421530099515,11.3302446586223,9.89345322583372
"VDX_226",13.6878021297026,11.0930213465869,8.75955534320631
"VDX_230",9.72706955802371,14.2613310016831,8.69209237542757
"VDX_231",12.8521198163561,11.2062818017353,10.6154457253048
"VDX_233",13.4194335507054,11.6376663921206,7.38284014447524
"VDX_234",13.9540054169879,11.2586249182001,8.456149034648
"VDX_235",10.6138815288637,15.2702296151812,7.77016832010343
"VDX_236",7.84924870276441,10.1345546681629,9.41637531658728
"VDX_237",12.8860394682522,10.5470873206647,10.7135583564048
"VDX_239",14.2130662374907,11.0539258815311,8.31560245663795
"VDX_240",12.4785421268494,11.2422213950984,7.97842446544086
"VDX_241",13.3264575767056,11.166727996198,9.24365004189697
