"","205225_at","216836_s_at","208079_s_at"
"VDXIGRU_219873",8.74324114597124,10.7380283199298,9.93065709337509
"VDXIGRU_245392",13.3148280703418,11.5520979761117,7.66647354740065
"VDXIGRU_245596",6.55370765692228,14.2726462452465,10.1653308791036
"VDXIGRU_246047",13.0096619324118,10.7570014335023,8.79772251226236
"VDXIGRU_246166",13.2039214994982,10.0616276521475,9.2699624597688
"VDXIGRU_246381",11.2699001923047,11.5036325703419,9.63390797385828
"VDXIGRU_246560",7.79614531956801,9.44202262539685,8.76115549624672
"VDXIGRU_246821",6.67558482199356,8.5970942021899,10.613747811984
"VDXIGRU_246919",12.2884718311666,10.7358753948686,8.61688128201348
"VDXIGRU_247000",11.477647379326,10.0182948103561,9.29714216595192
"VDXIGRU_247243",12.386726300196,10.8973572099262,8.92394129618166
"VDXIGRU_247401",11.7815587400117,9.80105580818575,8.48096858504808
"VDXIGRU_254031",12.0707924922418,10.6086979800528,9.5701521636351
"VDXIGRU_254485",12.2578979854459,10.7043491812448,7.00500209287443
"VDXIGRU_255160",12.2124075684449,10.4581589561477,6.85744314942164
"VDXIGRU_255627",10.9879887644332,9.49484720523303,8.29555635698601
"VDXIGRU_256209",12.4201968696559,11.5312205609009,8.48711982527181
"VDXIGRU_256734",6.36777137306567,10.3379637705698,10.6318618539502
"VDXIGRU_256940",11.7796589476661,10.9797165849385,7.84744057330996
"VDXIGRU_256975",7.05421586346684,10.0088715636232,8.80838674705797
"VDXIGRU_271448",12.1483613782606,9.8284939039455,7.61278983983725
"VDXIGRU_271982",12.6586293817113,9.88852002098601,9.692287324909
"VDXIGRU_272219",8.59672089834739,13.3944376552414,9.08862950202876
"VDXIGRU_272823",13.0991998065521,10.6246011742438,9.8460242211974
"VDXIGRU_280328",11.2667413058227,11.0622999034475,7.62609417556889
"VDXIGRU_280352",12.9510794816267,11.7642182946282,7.9746117954585
"VDXIGRU_280775",5.53157994321469,8.90839170522787,10.0228120383375
"VDXIGRU_287897",10.9962001536741,11.3834877167044,8.08713292255199
"VDXIGRU_306818",13.0522886527467,10.4069791241199,7.95376729547702
"VDXIGRU_307251",7.08220669277536,9.84587744544588,9.20531554059242
"VDXIGRU_307327",12.2550799810626,11.1042739505893,7.58529334662465
"VDXIGRU_307506",10.1766204707876,13.4257674937804,9.76439608873972
"VDXIGRU_307829",13.0983417194206,10.3389939598491,8.39828455005866
"VDXIGRU_314827",7.64422297085761,10.7281180195276,9.98315394698391
"VDXOXFU_37",12.4649916896269,9.14136857127185,9.32814535055377
"VDXOXFU_57",11.2928183373002,13.3058577271284,8.49546886555547
"VDXOXFU_104",14.1775249083676,10.6796980062399,10.3395364766555
"VDXOXFU_157",12.8972527446102,13.9327957174147,9.36323640047114
"VDXOXFU_194",8.09346890905194,10.5869216190058,10.0273314234633
"VDXOXFU_220",12.2806957418889,11.1883003511116,8.73693950107631
"VDXOXFU_245",7.33895851591616,13.3875333115572,10.811455805083
"VDXOXFU_316",8.64851552998915,9.20571758339776,10.5907281681982
"VDXOXFU_320",7.99191489345175,9.53972107956869,10.2472128627717
"VDXOXFU_360",7.62598671744471,9.51568573352665,10.0399434614046
"VDXOXFU_366",9.82864467888569,15.1794591715323,9.54146491603473
"VDXOXFU_513",10.9304651697991,11.2636171777346,8.67013641307258
"VDXOXFU_530",13.82839431854,10.7981149162756,9.0076438825757
"VDXOXFU_544",14.0476971609837,11.9261128641945,6.46749378759745
"VDXOXFU_547",7.73251520083071,12.9103783989588,10.5301809500424
"VDXOXFU_662",10.7609383349087,14.464338227367,9.54444814768412
"VDXOXFU_869",13.8885835683079,11.315882070903,7.48980299143177
"VDXOXFU_1006",8.08663603813614,7.70690296288366,9.82408410151653
"VDXOXFU_1065",12.7066455523749,11.4215978356472,7.67559812499447
"VDXOXFU_1183",12.8575035100706,10.7704048991293,8.61798489530677
"VDXOXFU_1210",11.37466979925,10.7943560018699,7.9870109577278
"VDXOXFU_1328",13.1972953170959,11.52555080077,9.23800738145171
"VDXOXFU_1373",7.6541234412844,10.3489701743341,7.77449745834858
"VDXOXFU_1415",9.53531324300974,11.0711269284297,8.29768745074074
"VDXKIU_121",14.1155913571436,12.2462763693964,9.11346270018863
"VDXKIU_205",13.0062721573226,11.4243302734918,6.72488385022964
"VDXKIU_386",12.7611200055294,10.1737522627519,8.59124875858902
"VDXKIU_440",13.2551547276395,11.1081607771837,8.29463393304414
"VDXKIU_1000",8.43717138416201,9.70667457146682,8.01480574470546
"VDXKIU_1246",10.9461901247329,10.6146472584006,9.5989445615105
"VDXKIU_1608",13.0041235982031,10.6282699528903,7.52381275800283
"VDXKIU_1708",8.84112786456925,10.3233529453361,10.4257901186764
"VDXKIU_2481",11.3665993611702,14.3818402127343,8.66772849801314
"VDXKIU_2656",12.547928980382,10.405993774709,9.64991715498641
"VDXKIU_2743",6.53656782776522,14.363662931304,10.2105100207628
"VDXKIU_2889",10.9571677506373,10.0156247181684,8.60145461026151
"VDXKIU_2946",13.386791567059,11.5457715822214,8.16696025089526
"VDXKIU_3367",8.00826874299406,10.4055757613975,8.61065954106371
"VDXKIU_101B88",6.24000574128298,10.5382592355926,10.6883867586847
"VDXKIU_125B43",12.714698261585,10.3137471964403,8.62038057332636
"VDXKIU_136B04",12.3416992282272,14.5968561627556,7.90946569086665
"VDXKIU_144B49",10.7069748803728,10.4833511430119,7.78178733028145
"VDXKIU_15C5",9.28016744291087,10.6278533454269,9.42293091606332
"VDXKIU_15D6",13.1566449042341,11.1545297574356,8.6092637916857
